"35","1545 Peachtree St. NE, ATLANTA, GA, 30309","Tie"
"36","171 17th St., ATLANTA, GA, 30363","No_Match"
"28","488 Flat Shoals Ave. SE, ATLANTA, GA, 30316","Match","Exact","488 FLAT SHOALS AVE SE, ATLANTA, GA, 30316","-84.34617,33.74088","23365285","L"
"168","3434 Roswell Road NW, ATLANTA, GA, 30305","Match","Non_Exact","3434 ROSWELL RD, ATLANTA, GA, 30305","-84.38202,33.84697","17416298","L"
"209","W. Ponce de Leon Ave. and Church St., DECATUR, GA, 30030","Match","Non_Exact","E PONCE DE LEON AVE & CHURCH ST, DECATUR, GA, 30030","-84.29485,33.775597","",""
"29","996 Huff Rd., ATLANTA, GA, 30318","Match","Non_Exact","996 HUFF RD NW, ATLANTA, GA, 30318","-84.419395,33.78959","17341835","L"
"167","Euclid Ave. NE and Elizabeth St. NE, ATLANTA, GA, 30307","Match","Exact","EUCLID AVE NE & ELIZABETH ST NE, ATLANTA, GA, 30307","-84.35646,33.758312","",""
"3","1600 Clifton Rd. NE, ATLANTA, GA, 30333","Match","Non_Exact","1600 CLIFTON RD NE, ATLANTA, GA, 30329","-84.333626,33.80366","23405385","L"
"161","736 Ponce de Leon Place NE, ATLANTA, GA, 30306","Match","Exact","736 PONCE DE LEON PL NE, ATLANTA, GA, 30306","-84.36369,33.77442","17356999","L"
"2","50 Park Square, MARIETTA, GA, 30060","Tie"
"162","349 Ferst Dr. NW, ATLANTA, GA, 30332","Match","Exact","349 FERST DR NW, ATLANTA, GA, 30332","-84.40247,33.7765","17372989","L"
"163","755 Hank Aaron Dr. SW, ATLANTA, GA, 30302","Match","Non_Exact","755 HANK AARON DR SW, ATLANTA, GA, 30315","-84.38807,33.722427","17346549","R"
"164","11180 Medlock Bridge Rd., JOHNS CREEK, GA, 30097","Match","Exact","11180 MEDLOCK BRIDGE RD, JOHNS CREEK, GA, 30097","-84.17633,34.049335","17354069","L"
"30","12 Powder Springs St. SW, MARIETTA, GA, 30064","Match","Non_Exact","12 POWDER SPRINGS ST, MARIETTA, GA, 30064","-84.551956,33.95208","17262183","R"
"7","1406 Woodmont Lane, ATLANTA, GA, 30318","Match","Non_Exact","1406 WOODMONT LN NW, ATLANTA, GA, 30318","-84.43458,33.80358","17334155","L"
"6","1652 North Decatur Rd., ATLANTA, GA, 30322","Match","Non_Exact","1652 N DECATUR RD, ATLANTA, GA, 30307","-84.32307,33.78834","23366131","L"
"32","100 Babbs Mill Rd., HAMPTON, GA, 30228","Match","Exact","100 BABBS MILL RD, HAMPTON, GA, 30228","-84.28429,33.458717","23197123","R"
"5","4055 Roswell Rd. NE, ATLANTA, GA, 30342","Match","Non_Exact","4055 ROSWELL RD, ATLANTA, GA, 30342","-84.38038,33.863552","17433857","R"
"160","2660 Osborne Rd., BROOKHAVEN, GA, 30319","Match","Non_Exact","2660 OSBORNE RD NE, BROOKHAVEN, GA, 30319","-84.33784,33.86585","23380699","L"
"31","100 Centennial Olympic Park Dr. SW, ATLANTA, GA, 30313","No_Match"
"4","425 Peachtree Hills Ave., ATLANTA, GA, 30305","Match","Non_Exact","425 PEACHTREE HILLS AVE NE, ATLANTA, GA, 30305","-84.3734,33.819405","618349374","R"
"9","2050 Kennesaw Due West Rd., KENNESAW, GA, 30152","Match","Exact","2050 KENNESAW DUE WEST RD, KENNESAW, GA, 30152","-84.61826,34.009304","640539397","L"
"8","535 Barrington Dr., ROSWELL, GA, 30075","Match","Exact","535 BARRINGTON DR, ROSWELL, GA, 30075","-84.36433,34.012997","17352252","R"
"211","688 Linwood Ave. NE, ATLANTA, GA, 30306","Match","Exact","688 LINWOOD AVE NE, ATLANTA, GA, 30306","-84.357346,33.772793","17357066","L"
"212","499 Peachtree St. NE, ATLANTA, GA, 30308","Tie"
"210",", CHATTAHOOCHEE HILLS, GA, 30268","No_Match"
"215","1280 Peachtree St. NE, ATLANTA, GA, 30309","Match","Non_Exact","1280 PEACHTREE ST, ATLANTA, GA, 30309","-84.384384,33.7894","638967765","L"
"216","1770 Johnson Ferry Rd., MARIETTA, GA, 30062","Match","Exact","1770 JOHNSON FERRY RD, MARIETTA, GA, 30062","-84.42852,33.992043","640541138","R"
"19","1015 Old Roswell Rd., ROSWELL, GA, 30076","Match","Exact","1015 OLD ROSWELL RD, ROSWELL, GA, 30076","-84.33512,34.03734","601532142","R"
"213","14 West Alabama St., TALLAPOOSA, GA, 30176","No_Match"
"214","2969 E Ponce de Leon Ave., DECATUR, GA, 30030","Match","Exact","2969 E PONCE DE LEON AVE, DECATUR, GA, 30030","-84.272316,33.78378","640580170","R"
"179","1578 Piedmont Ave. NE, ATLANTA, GA, 30324","Match","Exact","1578 PIEDMONT AVE NE, ATLANTA, GA, 30324","-84.369194,33.798748","17433758","L"
"17","3731 #2 Main St., COLLEGE PARK, GA, 30337","No_Match"
"219","East Lake Drive and Oakview Road, DECATUR, GA, 30030","Match","Exact","E LAKE DR & OAKVIEW RD, DECATUR, GA, 30030","-84.303314,33.759434","",""
"178","Auburn Ave. NE and Peachtree St. NE, ATLANTA, GA, 30303","Match","Non_Exact","AUBURN AVE NE & PEACHTREE ST, ATLANTA, GA, 30303","-84.3885,33.756256","",""
"18","650 North Avenue, ATLANTA, GA, 30308","Match","Non_Exact","650 NORTH AVE, ATLANTA, GA, 30354","-84.409904,33.665325","17349466","L"
"177","Clayton State University, MORROW, GA, 30260","No_Match"
"15","8534 Main St., WOODSTOCK, GA, 30188","Match","Exact","8534 MAIN ST, WOODSTOCK, GA, 30188","-84.51924,34.10174","68863399","L"
"217","2382 Pine Mountain Rd., KENNESAW, GA, 30152","Match","Exact","2382 PINE MOUNTAIN RD, KENNESAW, GA, 30152","-84.62994,34.011505","639372359","R"
"176","Cobb County Civic Center Complex, MARIETTA, GA, 30060","No_Match"
"16","1930 Bobby Jones Dr., JOHNS CREEK, GA, 30097","No_Match"
"218","50 Alabama St. SW, ATLANTA, GA, 30303","No_Match"
"13","136 Hood St., MCDONOUGH, GA, 30253","Match","Exact","136 HOOD ST, MCDONOUGH, GA, 30253","-84.14289,33.44923","23190277","L"
"14","441 Freedom Pkwy., ATLANTA, GA, 30307","Match","Non_Exact","441 FREEDOM PKWY, ATLANTA, GA, 30306","-84.35839,33.76748","640546727","R"
"11","9135 Willeo Rd., ROSWELL, GA, 30075","No_Match"
"12","1049 Ponce de Leon Ave., ATLANTA, GA, 30306","Match","Non_Exact","1049 PONCE DE LEON AVE NE, ATLANTA, GA, 30306","-84.35301,33.773827","17357086","R"
